PLAYER_ID,name,team,height,weight,age,gp,min_pg,total_min,ppg,ts_pct,fg2_pct,fg2a,fg3_pct,fg3a,on_ball_def_fg_pct,interior_def_fg_pct,perimeter_def_fg_pct,avg_speed,blk,reb,ast,tov,net_off_rating,stl,net_def_rating,combine_max_vertical,combine_lane_agility,charges_drawn,loose_balls_recovered,box_outs
1627780,Gary Payton II,GSW,74,195,32.0,62,15.0,927.1766666666666,6.5,0.635,0.6969696969696969,3.3,0.326,1.5,0.477,0.574,0.372,4.8,0.3,3.0,1.3,0.6,1.2999999999999972,0.8,0.5999999999999943,38.5,11.57,0.0,0.51,0.36
1629018,Gary Trent Jr.,MIL,77,204,26.0,74,25.6,1893.395,11.1,0.591,0.4666666666666666,3.0,0.416,5.9,0.493,0.691,0.354,4.0,0.1,2.3,1.2,0.6,3.8000000000000114,1.0,4.900000000000006,39.5,11.37,0.0,0.26,0.08
1627777,Georges Niang,ATL,79,230,32.0,79,21.5,1697.2333333333333,9.9,0.607,0.576923076923077,2.5999999999999996,0.406,5.2,0.492,0.626,0.4,4.31,0.2,3.4,1.4,1.0,3.5999999999999943,0.4,7.6000000000000085,31.0,11.64,0.04,0.36,0.79
203507,Giannis Antetokounmpo,MIL,83,243,30.0,67,34.2,2288.63,30.4,0.625,0.6170212765957447,18.8,0.222,0.9,0.453,0.569,0.361,4.0,1.2,11.9,6.5,3.1,11.0,0.9,0.0,,,0.0,0.66,0.9
1629048,Goga Bitadze,ORL,82,250,25.0,70,20.4,1429.4616666666666,7.2,0.631,0.6818181818181819,4.3999999999999995,0.107,0.4,0.45,0.609,0.305,4.11,1.4,6.6,2.0,1.0,3.0,0.7,-1.0999999999999943,,,0.0,0.39,1.54
1641711,Gradey Dick,TOR,78,200,21.0,54,29.4,1587.3733333333332,14.4,0.543,0.46666666666666673,6.0,0.35,6.0,0.499,0.665,0.388,4.59,0.2,3.6,1.8,1.5,2.5999999999999943,0.9,5.799999999999997,34.0,11.13,0.11,0.61,0.26
1629684,Grant Williams,CHA,78,236,26.0,16,29.9,479.025,10.4,0.596,0.5483870967741934,3.1000000000000005,0.365,4.6,0.474,0.654,0.326,3.87,0.8,5.1,2.3,1.8,9.600000000000009,1.1,-2.5,31.5,10.83,0.31,0.69,2.25
1628960,Grayson Allen,PHX,76,198,29.0,64,24.1,1543.705,10.6,0.631,0.523809523809524,2.0999999999999996,0.426,5.5,0.473,0.613,0.351,4.29,0.3,3.0,2.1,1.2,2.6000000000000085,0.8,2.799999999999997,40.5,10.31,0.02,0.59,0.4
1627824,Guerschon Yabusele,PHI,80,265,29.0,70,27.1,1894.7366666666667,11.0,0.616,0.6097560975609757,4.1,0.38,3.9,0.521,0.64,0.398,4.12,0.3,5.6,2.1,1.2,7.099999999999994,0.8,0.9000000000000057,,,0.11,0.54,1.63
1630611,Gui Santos,GSW,78,185,23.0,56,13.6,761.5233333333333,4.1,0.575,0.6428571428571428,1.4000000000000001,0.33,1.8,0.466,0.534,0.383,4.63,0.2,3.1,1.4,0.8,5.599999999999994,0.4,-3.299999999999997,,,0.0,0.46,0.75
203084,Harrison Barnes,SAS,80,225,33.0,82,27.2,2230.0633333333335,12.3,0.656,0.5897435897435898,3.9000000000000004,0.433,4.4,0.504,0.646,0.375,4.42,0.2,3.8,1.7,0.6,5.700000000000003,0.5,1.8999999999999915,39.5,10.93,0.01,0.43,0.79
