PLAYER_ID,name,team,height,weight,age,ppg,ts_pct,on_ball_def_fg_pct,blk,reb,ast,tov,off_rating,stl,def_rating,combine_max_vertical,combine_lane_agility,charges_drawn,loose_balls_recovered,box_outs
1628436,Luke Kornet,BOS,85,250,29.0,6.0,0.683,0.442,1.0,5.3,1.6,0.4,121.2,0.5,106.3,,,0.0,0.28,1.71
1631247,Luke Travers,CLE,79,207,23.0,1.0,0.287,0.526,0.1,1.7,0.7,0.7,109.1,0.1,109.7,,,0.0,0.0,0.5
1630644,Mac McClung,ORL,74,185,26.0,0.0,0.0,0.5,0.0,0.5,1.5,0.0,119.0,0.0,128.6,,,0.0,0.0,0.0
1630201,Malachi Flynn,SAS,73,185,27.0,4.0,0.512,0.429,0.0,1.8,1.8,1.0,112.8,0.8,109.1,,,0.0,0.33,1.0
1631103,Malaki Branham,SAS,76,180,22.0,5.0,0.575,0.4,0.0,1.1,0.8,0.7,106.1,0.2,109.8,35.0,11.38,0.0,0.23,0.17
1627763,Malcolm Brogdon,WAS,76,229,32.0,12.7,0.544,0.512,0.2,3.8,4.1,1.6,106.5,0.5,116.9,35.5,10.77,0.0,0.42,0.38
1642502,Malevy Leons,OKC,81,210,25.0,0.3,0.266,0.571,0.0,0.5,0.2,0.2,61.4,0.0,104.7,,,0.0,0.0,0.0
1627736,Malik Beasley,DET,76,187,28.0,16.3,0.59,0.493,0.1,2.6,1.7,1.0,113.3,0.9,110.2,,,0.0,0.3,0.23
1628370,Malik Monk,SAC,75,200,27.0,17.2,0.549,0.463,0.6,3.8,5.6,2.4,117.0,0.9,114.5,,,0.03,0.65,0.29
1630699,MarJon Beauchamp,NYK,79,199,24.0,2.3,0.535,0.328,0.0,1.3,0.3,0.4,94.8,0.1,92.0,,,0.05,0.32,0.18
1630542,Marcus Bagley,PHI,78,217,23.0,6.7,0.456,0.396,1.2,7.0,1.0,0.7,101.1,0.9,117.0,38.5,12.26,0.1,0.5,0.3
1630585,Marcus Garrett,CHA,77,205,26.0,7.0,0.487,0.273,0.5,1.5,3.3,1.5,95.6,0.8,119.3,,,0.0,0.0,0.5
1631204,Marcus Sasser,DET,74,195,24.0,6.6,0.589,0.416,0.1,1.2,2.3,0.9,110.4,0.6,107.5,35.0,10.68,0.0,0.39,0.12
203935,Marcus Smart,WAS,75,220,31.0,9.0,0.529,0.427,0.3,2.1,3.2,1.6,109.9,1.1,107.3,36.0,10.82,0.15,0.68,0.44
1631109,Mark Williams,CHA,84,240,23.0,15.3,0.647,0.494,1.2,10.2,2.5,1.6,106.3,0.7,118.9,,,0.0,0.64,1.66
1628365,Markelle Fultz,SAC,76,209,27.0,2.9,0.452,0.426,0.1,1.0,1.3,0.7,109.3,0.5,105.7,,,0.0,0.21,0.11
202693,Markieff Morris,LAL,81,245,35.0,3.7,0.385,0.485,0.2,1.5,1.4,0.3,106.1,0.1,113.9,31.5,,0.0,0.09,0.73
1628963,Marvin Bagley III,MEM,82,235,26.0,4.4,0.56,0.387,0.3,2.7,0.4,0.4,108.2,0.3,108.8,,,0.04,0.25,0.58
1630222,Mason Jones,SAC,76,200,26.0,2.3,0.569,0.5,0.1,0.9,1.1,0.1,107.4,0.0,105.3,31.0,10.6,0.0,0.33,0.0
