name,team,pctile_min,pctile_ppg,pctile_fg2_pct,pctile_interior_def_fg_pct,pctile_blk,pctile_reb,pctile_ast_minus_tov,pctile_net_off_rating,pctile_fg3m,pctile_perimeter_def_fg_pct,pctile_net_def_rating,pctile_stl,pctile_avg_speed,pctile_loose_balls,pctile_charges,pctile_box_outs
Jusuf Nurkić,CHA,31.5,41.2,64.7,89.1,79.7,90.3,20.7,20.7,23.7,15.2,26.4,52.1,22.1,92.8,24.0,95.2
KJ Martin,UTA,24.5,20.8,96.3,80.5,64.7,26.4,25.6,71.1,15.2,83.7,85.2,9.5,26.0,38.4,24.0,52.3
KJ Simpson,CHA,21.1,33.1,2.9,15.1,22.4,29.3,69.3,10.7,34.7,5.7,29.3,64.0,60.3,57.2,66.7,9.9
Karl-Anthony Towns,NYK,93.1,95.1,67.2,16.7,79.7,99.7,20.7,97.2,77.1,17.5,17.9,73.9,3.7,77.5,24.0,99.5
Karlo Matković,NOP,18.7,32.7,96.0,51.2,89.7,69.6,10.4,53.3,20.0,12.3,86.7,18.4,75.2,52.9,24.0,90.5
Kawhi Leonard,LAC,36.8,90.1,49.5,35.2,64.7,79.3,62.7,96.0,79.5,7.1,57.7,96.3,24.0,92.8,24.0,52.3
Keaton Wallace,ATL,0.5,14.4,10.5,47.2,38.4,5.9,69.3,6.5,32.5,46.7,91.9,64.0,80.0,21.6,24.0,4.4
Keegan Murray,SAC,96.0,65.1,69.5,93.6,86.3,85.3,28.9,62.0,78.1,20.7,56.4,52.1,73.5,69.7,94.9,80.8
Kel'el Ware,MIA,49.9,45.5,88.5,40.3,92.3,88.1,5.2,70.0,20.8,92.8,44.5,29.5,16.8,15.1,24.0,78.4
Keldon Johnson,SAS,68.3,66.7,74.9,58.9,38.4,66.3,32.1,25.9,44.5,40.7,25.3,29.5,54.9,60.5,24.0,53.7
Kelly Olynyk,NOP,22.9,38.8,32.5,67.3,51.6,64.5,61.7,73.9,29.3,90.3,98.1,52.1,29.5,16.8,88.1,78.8
Kelly Oubre Jr.,PHI,79.2,75.2,55.5,39.6,64.7,81.3,25.6,62.0,47.2,59.7,43.5,94.4,31.3,91.6,66.7,9.9
Kenrich Williams,OKC,34.1,19.7,74.0,60.5,7.3,41.7,42.7,55.5,36.0,93.3,65.5,29.5,33.9,19.6,94.9,63.7
Kentavious Caldwell-Pope,MEM,88.0,38.8,70.9,49.7,51.6,12.5,53.5,73.3,56.8,4.5,31.5,89.7,6.5,69.7,73.2,15.1
Keon Ellis,SAC,74.1,35.9,85.3,10.1,83.5,21.7,32.1,79.2,66.3,77.7,51.5,94.4,76.9,62.3,50.7,21.9
