name,team,pctile_min,pctile_ppg,pctile_fg2_pct,pctile_interior_def_fg_pct,pctile_blk,pctile_reb,pctile_ast_minus_tov,pctile_net_off_rating,pctile_fg3m,pctile_perimeter_def_fg_pct,pctile_net_def_rating,pctile_stl,pctile_avg_speed,pctile_loose_balls,pctile_charges,pctile_box_outs
Ausar Thompson,DET,74.3,48.1,50.3,84.9,87.3,79.6,70.8,91.1,7.9,61.8,44.7,99.6,53.6,97.2,66.7,37.2
Austin Reaves,LAL,68.3,93.9,73.9,15.6,55.6,63.9,86.6,71.6,85.2,76.9,82.7,79.9,7.0,95.5,99.5,26.9
Ayo Dosunmu,MIN,73.8,74.1,63.8,78.3,40.7,41.1,81.7,35.6,72.8,97.0,55.4,52.1,48.3,81.3,84.3,29.2
Bam Adebayo,MIA,92.6,88.5,26.7,44.6,79.1,97.0,70.8,91.7,71.2,58.7,75.5,85.7,29.6,72.4,66.7,96.4
Baylor Scheierman,BOS,51.6,13.5,88.1,91.8,9.4,43.5,49.2,22.5,53.4,27.4,67.1,16.5,26.6,35.2,87.0,40.3
Ben Saraf,BKN,22.2,30.7,11.9,16.1,24.3,12.2,52.8,13.0,13.8,8.1,60.7,63.5,56.2,56.9,56.1,26.9
Ben Sheppard,IND,49.2,26.7,51.3,39.9,9.4,31.5,59.8,32.4,55.0,34.7,48.4,28.3,96.8,40.9,21.6,31.6
Bennedict Mathurin,LAC,62.2,83.3,20.5,68.8,24.3,75.1,11.9,32.4,57.3,18.7,57.9,52.1,37.0,35.2,56.1,63.1
Bilal Coulibaly,WAS,54.8,57.8,14.3,56.1,89.9,59.9,59.8,46.4,47.6,51.3,34.1,89.6,67.1,22.8,74.6,20.8
Bobby Portis Jr.,MIL,61.9,69.2,31.7,5.4,24.3,84.0,36.4,37.8,79.9,64.9,26.7,28.3,29.6,46.0,46.6,87.8
Bones Hyland,MIN,37.0,38.0,72.0,30.8,24.3,7.4,70.8,38.6,67.2,29.6,82.7,28.3,56.2,28.3,56.1,5.0
Brandin Podziemski,GSW,91.5,70.0,33.5,39.9,24.3,70.6,80.0,21.8,73.5,47.4,86.8,79.9,56.2,40.9,99.2,49.7
Brandon Ingram,TOR,96.8,92.5,28.8,86.6,79.1,77.9,61.4,70.1,71.7,66.3,3.2,52.1,7.0,48.9,21.6,43.7
Brandon Miller,CHA,77.8,89.3,19.8,86.0,79.1,66.8,45.5,87.3,97.1,57.1,59.0,73.1,31.5,72.4,66.7,22.9
Brandon Williams,DAL,54.2,65.2,57.9,38.4,40.7,29.1,78.7,79.1,19.0,36.6,26.7,63.5,87.4,76.3,66.7,24.6
Brice Sensabaugh,UTA,68.5,74.6,61.8,2.1,24.3,33.7,12.8,46.4,83.9,48.7,25.9,41.3,26.6,35.2,95.9,49.7
Brook Lopez,LAC,63.0,38.0,46.0,95.9,93.8,46.0,29.6,33.9,64.0,86.5,68.3,28.3,2.9,5.0,21.6,89.8
Bruce Brown,DEN,79.6,33.7,21.8,9.3,24.3,51.9,52.8,1.9,24.9,84.7,39.8,73.1,9.4,12.7,21.6,41.8
Bryce McGowens,NOP,18.8,34.5,43.3,1.6,24.3,12.2,56.5,77.5,33.9,89.7,22.6,28.3,79.1,10.3,97.9,49.7
Bub Carrington,WAS,89.7,53.3,2.6,15.6,24.3,41.1,83.6,28.2,82.0,41.1,6.1,28.3,61.0,62.8,21.6,52.6
Buddy Hield,ATL,14.6,31.7,76.1,76.1,24.3,15.5,29.6,55.6,60.6,8.5,0.3,52.1,99.7,62.8,21.6,2.5
CJ McCollum,ATL,88.6,86.0,32.8,31.7,66.7,38.4,79.5,65.2,88.9,60.4,98.9,52.1,87.4,78.6,21.6,18.7
Cade Cunningham,DET,85.2,94.7,27.9,81.9,83.9,76.3,99.7,97.9,78.0,87.8,19.2,92.9,37.0,98.7,21.6,57.5
Caleb Love,POR,27.5,52.0,23.9,1.1,9.4,15.5,58.1,12.4,75.9,93.5,22.6,28.3,51.5,7.5,21.6,5.8
Caleb Martin,DAL,16.9,3.6,36.4,74.6,40.7,20.4,40.3,7.0,13.0,91.1,74.3,41.3,85.8,22.8,89.7,29.2
Cam Spencer,MEM,65.6,55.2,43.7,23.0,24.3,20.4,95.9,73.5,80.7,28.4,58.5,41.3,73.9,53.3,66.7,38.9
